First Team,First Week,Second Team,Second Week,Score
Hiddenbrook,Week2,Riverside Gardens,Week2,280.0 Hiddenbrook - 140.0 Riverside Gardens
High Point Pool,Week2,Fox Hunt,Week2,225.5 High Point Pool - 193.5 Fox Hunt
Highland Park,Week2,Commonwealth,Week3,240.0 Commonwealth - 180.0 Highland Park
High Point Pool,Week1,Virginia Run,Week4,310.0 High Point Pool - 109.0 Virginia Run
Hiddenbrook,Week5,Lakevale Estates,Week1,309.0 Hiddenbrook - 111.0 Lakevale Estates
Hiddenbrook,Week1,Riverside Gardens,Week4,243.0 Hiddenbrook - 177.0 Riverside Gardens
Hiddenbrook,Week5,Lakeview,Week1,252.0 Hiddenbrook - 168.0 Lakeview
Highland Park,Week2,Commonwealth,Week4,279.0 Commonwealth - 141.0 Highland Park
High Point Pool,Week2,Virginia Run,Week1,325.0 High Point Pool - 94.0 Virginia Run
Hiddenbrook,Week4,Tuckahoe,Week4,366.0 Tuckahoe - 54.0 Hiddenbrook
Hiddenbrook,Week2,Riverside Gardens,Week4,245.0 Hiddenbrook - 175.0 Riverside Gardens
Hiddenbrook,Week4,Highlands Swim,Week4,308.0 Highlands Swim - 112.0 Hiddenbrook
Hiddenbrook,Week4,Tuckahoe,Week5,367.0 Tuckahoe - 53.0 Hiddenbrook
Hiddenbrook,Week4,Parliament,Week5,320.0 Hiddenbrook - 100.0 Parliament
High Point Pool,Week2,Fox Hunt,Week4,212.0 Fox Hunt - 208.0 High Point Pool
High Point Pool,Week3,Virginia Hills,Week4,286.0 High Point Pool - 134.0 Virginia Hills
Highland Park,Week1,Fair Oaks ,Week5,328.0 Fair Oaks - 90.0 Highland Park
Hiddenbrook,Week4,Parliament,Week4,311.0 Hiddenbrook - 109.0 Parliament
Highland Park,Week5,Edsall Park,Week5,299.0 Highland Park - 52.0 Edsall Park
High Point Pool,Week3,Virginia Hills,Week1,309.0 High Point Pool - 111.0 Virginia Hills
High Point Pool,Week4,Fox Hunt,Week2,230.0 High Point Pool - 190.0 Fox Hunt
Highland Park,Week2,Commonwealth,Week5,254.0 Commonwealth - 165.0 Highland Park
Hiddenbrook,Week2,Hollin Hills,Week2,336.0 Hiddenbrook - 75.0 Hollin Hills
Hiddenbrook,Week2,Highlands Swim,Week4,310.0 Highlands Swim - 110.0 Hiddenbrook
Highland Park,Week4,Commonwealth,Week2,232.0 Commonwealth - 188.0 Highland Park
Hiddenbrook,Week5,Tuckahoe,Week1,304.0 Tuckahoe - 116.0 Hiddenbrook
High Point Pool,Week2,Virginia Run,Week2,317.0 High Point Pool - 102.0 Virginia Run
Highland Park,Week1,Fair Oaks ,Week4,334.0 Fair Oaks - 85.0 Highland Park
Hiddenbrook,Week1,Parliament,Week3,294.0 Hiddenbrook - 126.0 Parliament
Hiddenbrook,Week2,Lakeview,Week2,211.0 Lakeview - 209.0 Hiddenbrook
Hiddenbrook,Week5,Lakevale Estates,Week3,308.0 Hiddenbrook - 112.0 Lakevale Estates
Highland Park,Week2,Fair Oaks ,Week4,318.0 Fair Oaks - 102.0 Highland Park
High Point Pool,Week4,Fox Hunt,Week5,213.0 Fox Hunt - 207.0 High Point Pool
Hiddenbrook,Week3,Riverside Gardens,Week4,254.0 Hiddenbrook - 166.0 Riverside Gardens
Hiddenbrook,Week3,Riverside Gardens,Week1,297.5 Hiddenbrook - 121.5 Riverside Gardens
Hiddenbrook,Week3,Tuckahoe,Week5,375.0 Tuckahoe - 45.0 Hiddenbrook
Hiddenbrook,Week2,Tuckahoe,Week5,370.0 Tuckahoe - 50.0 Hiddenbrook
Highland Park,Week5,Commonwealth,Week3,216.0 Highland Park - 204.0 Commonwealth
Highland Park,Week5,Chesterbrook,Week3,371.0 Chesterbrook - 49.0 Highland Park
Hiddenbrook,Week3,Lakeview,Week4,213.0 Hiddenbrook - 207.0 Lakeview
Hiddenbrook,Week2,Tuckahoe,Week2,364.0 Tuckahoe - 56.0 Hiddenbrook
Hiddenbrook,Week3,Kent Gardens,Week2,276.0 Kent Gardens - 144.0 Hiddenbrook
High Point Pool,Week3,Virginia Hills,Week5,305.0 High Point Pool - 115.0 Virginia Hills
Hiddenbrook,Week4,Riverside Gardens,Week2,301.0 Hiddenbrook - 119.0 Riverside Gardens
Hiddenbrook,Week1,Parliament,Week2,308.5 Hiddenbrook - 111.5 Parliament
High Point Pool,Week5,Fox Hunt,Week1,242.0 High Point Pool - 178.0 Fox Hunt
Hiddenbrook,Week2,Hollin Hills,Week3,279.0 Hiddenbrook - 104.0 Hollin Hills
Highland Park,Week5,Edsall Park,Week1,252.0 Highland Park - 48.0 Edsall Park
High Point Pool,Week4,Virginia Hills,Week2,306.0 High Point Pool - 114.0 Virginia Hills
Hiddenbrook,Week1,Tuckahoe,Week3,371.5 Tuckahoe - 48.5 Hiddenbrook
Hiddenbrook,Week5,Parklawn,Week5,214.0 Hiddenbrook - 206.0 Parklawn
Highland Park,Week5,Chesterbrook,Week4,372.0 Chesterbrook - 48.0 Highland Park
Hiddenbrook,Week4,Riverside Gardens,Week4,260.0 Hiddenbrook - 160.0 Riverside Gardens
Hiddenbrook,Week4,Parklawn,Week4,216.0 Hiddenbrook - 204.0 Parklawn
Highland Park,Week2,Fair Oaks ,Week5,315.0 Fair Oaks - 105.0 Highland Park
Hiddenbrook,Week1,Lakeview,Week1,216.0 Hiddenbrook - 204.0 Lakeview
Hiddenbrook,Week2,Lakeview,Week3,207.0 Lakeview - 195.0 Hiddenbrook
Highland Park,Week5,Commonwealth,Week1,219.0 Highland Park - 201.0 Commonwealth
High Point Pool,Week4,Fox Hunt,Week4,216.0 High Point Pool - 204.0 Fox Hunt
High Point Pool,Week5,Fox Hunt,Week2,246.0 High Point Pool - 174.0 Fox Hunt
High Point Pool,Week2,Virginia Hills,Week4,293.5 High Point Pool - 126.5 Virginia Hills
Highland Park,Week2,Fair Oaks ,Week1,320.0 Fair Oaks - 100.0 Highland Park
High Point Pool,Week4,Virginia Hills,Week4,281.0 High Point Pool - 139.0 Virginia Hills
High Point Pool,Week3,Fox Mill Estates,Week3,370.0 High Point Pool - 36.0 Fox Mill Estates
Hiddenbrook,Week1,Parliament,Week5,285.0 Hiddenbrook - 135.0 Parliament
Hiddenbrook,Week4,Highlands Swim,Week5,303.0 Highlands Swim - 117.0 Hiddenbrook
Hiddenbrook,Week3,Lakeview,Week5,232.5 Lakeview - 187.5 Hiddenbrook
Hiddenbrook,Week4,Riverside Gardens,Week5,240.0 Hiddenbrook - 180.0 Riverside Gardens
Hiddenbrook,Week2,Hollin Hills,Week4,326.0 Hiddenbrook - 80.0 Hollin Hills
Highland Park,Week2,Fair Oaks ,Week2,318.0 Fair Oaks - 102.0 Highland Park
Hiddenbrook,Week1,Tuckahoe,Week2,356.0 Tuckahoe - 64.0 Hiddenbrook
Hiddenbrook,Week5,Riverside Gardens,Week1,321.0 Hiddenbrook - 99.0 Riverside Gardens
Hiddenbrook,Week4,Parklawn,Week2,216.0 Hiddenbrook - 204.0 Parklawn
Hiddenbrook,Week5,Ilda Community,Week3,378.0 Hiddenbrook - 42.0 Ilda Community
Hiddenbrook,Week4,Lakeview,Week3,227.0 Hiddenbrook - 175.0 Lakeview
Highland Park,Week1,Commonwealth,Week3,256.0 Commonwealth - 163.0 Highland Park
Hiddenbrook,Week1,Kent Gardens,Week2,277.0 Kent Gardens - 143.0 Hiddenbrook
Hiddenbrook,Week2,Tuckahoe,Week4,365.0 Tuckahoe - 55.0 Hiddenbrook
Highland Park,Week1,Commonwealth,Week2,254.5 Commonwealth - 163.5 Highland Park
High Point Pool,Week5,Virginia Hills,Week4,287.0 High Point Pool - 133.0 Virginia Hills
High Point Pool,Week1,Fox Mill Woods,Week2,348.0 High Point Pool - 71.0 Fox Mill Woods
Hiddenbrook,Week1,Tuckahoe,Week5,373.0 Tuckahoe - 47.0 Hiddenbrook
High Point Pool,Week5,Virginia Hills,Week2,312.0 High Point Pool - 108.0 Virginia Hills
Hiddenbrook,Week2,Parliament,Week1,312.0 Hiddenbrook - 108.0 Parliament
High Point Pool,Week5,Fox Mill Estates,Week4,374.0 High Point Pool - 46.0 Fox Mill Estates
Hiddenbrook,Week5,Riverside Gardens,Week2,307.0 Hiddenbrook - 113.0 Riverside Gardens
Hiddenbrook,Week2,Kent Gardens,Week2,274.0 Kent Gardens - 146.0 Hiddenbrook
Hiddenbrook,Week2,Highlands Swim,Week5,308.0 Highlands Swim - 112.0 Hiddenbrook
Hiddenbrook,Week1,Parliament,Week4,280.0 Hiddenbrook - 140.0 Parliament
Hiddenbrook,Week2,Lakeview,Week5,218.0 Lakeview - 202.0 Hiddenbrook
Hiddenbrook,Week3,Highlands Swim,Week4,312.0 Highlands Swim - 108.0 Hiddenbrook
Hiddenbrook,Week1,Vienna Aquatic,Week3,254.0 Vienna Aquatic - 166.0 Hiddenbrook
Hiddenbrook,Week5,Riverside Gardens,Week3,303.5 Hiddenbrook - 116.5 Riverside Gardens
Hiddenbrook,Week1,Lakeview,Week2,220.0 Lakeview - 200.0 Hiddenbrook
Hiddenbrook,Week5,Vienna Aquatic,Week2,222.0 Hiddenbrook - 198.0 Vienna Aquatic
Hiddenbrook,Week2,Parliament,Week3,310.0 Hiddenbrook - 110.0 Parliament
Highland Park,Week1,Fair Oaks ,Week2,328.0 Fair Oaks - 91.0 Highland Park
Hiddenbrook,Week5,Highlands Swim,Week4,302.0 Highlands Swim - 118.0 Hiddenbrook
Hiddenbrook,Week5,Riverside Gardens,Week4,298.0 Hiddenbrook - 122.0 Riverside Gardens
Hiddenbrook,Week5,Highlands Swim,Week1,293.0 Highlands Swim - 127.0 Hiddenbrook
Highland Park,Week1,Commonwealth,Week1,254.0 Commonwealth - 165.0 Highland Park
Hiddenbrook,Week5,Tuckahoe,Week3,342.0 Tuckahoe - 78.0 Hiddenbrook
Hiddenbrook,Week5,Parklawn,Week1,239.0 Hiddenbrook - 181.0 Parklawn
High Point Pool,Week3,Fox Mill Estates,Week1,360.0 High Point Pool - 42.0 Fox Mill Estates
High Point Pool,Week4,Virginia Hills,Week3,301.0 High Point Pool - 119.0 Virginia Hills
High Point Pool,Week1,Fox Mill Estates,Week1,357.0 High Point Pool - 45.0 Fox Mill Estates
Hiddenbrook,Week1,Rolling Forest,Week4,282.0 Hiddenbrook - 138.0 Rolling Forest
Hiddenbrook,Week1,Vienna Woods,Week1,228.0 Vienna Woods - 191.0 Hiddenbrook
High Point Pool,Week2,Virginia Hills,Week3,315.0 High Point Pool - 105.0 Virginia Hills
Hiddenbrook,Week4,Ilda Community,Week5,357.0 Hiddenbrook - 63.0 Ilda Community
Hiddenbrook,Week4,Ilda Community,Week2,362.0 Hiddenbrook - 49.0 Ilda Community
High Point Pool,Week4,Fox Mill Estates,Week4,377.0 High Point Pool - 43.0 Fox Mill Estates
Hiddenbrook,Week2,Parliament,Week5,302.0 Hiddenbrook - 118.0 Parliament
High Point Pool,Week1,Fox Mill Estates,Week4,367.0 High Point Pool - 53.0 Fox Mill Estates
Hiddenbrook,Week4,Lakeview,Week1,239.0 Hiddenbrook - 181.0 Lakeview
Hiddenbrook,Week1,Lakeview,Week5,229.0 Lakeview - 191.0 Hiddenbrook
Hiddenbrook,Week2,Kent Gardens,Week1,258.5 Kent Gardens - 161.5 Hiddenbrook
Hiddenbrook,Week1,Lakeview,Week4,217.0 Lakeview - 203.0 Hiddenbrook
High Point Pool,Week2,Virginia Hills,Week2,314.0 High Point Pool - 105.0 Virginia Hills
Hiddenbrook,Week5,Vienna Aquatic,Week3,231.0 Vienna Aquatic - 189.0 Hiddenbrook
High Point Pool,Week5,Virginia Hills,Week1,312.0 High Point Pool - 108.0 Virginia Hills
Hiddenbrook,Week1,Rolling Forest,Week5,308.0 Hiddenbrook - 111.0 Rolling Forest
Hiddenbrook,Week1,Rolling Forest,Week1,305.0 Hiddenbrook - 110.0 Rolling Forest
Highland Park,Week4,Fair Oaks ,Week2,310.5 Fair Oaks - 109.5 Highland Park
Hiddenbrook,Week3,Kent Gardens,Week1,259.5 Kent Gardens - 160.5 Hiddenbrook
Highland Park,Week4,Fair Oaks ,Week1,316.0 Fair Oaks - 104.0 Highland Park
Hiddenbrook,Week1,Hollin Hills,Week1,309.0 Hiddenbrook - 97.0 Hollin Hills
Hiddenbrook,Week3,Highlands Swim,Week5,312.0 Highlands Swim - 108.0 Hiddenbrook
Hiddenbrook,Week2,Rolling Forest,Week1,307.0 Hiddenbrook - 108.0 Rolling Forest
Hiddenbrook,Week1,Rolling Forest,Week2,312.0 Hiddenbrook - 107.0 Rolling Forest
High Point Pool,Week2,Fox Mill Estates,Week1,364.0 High Point Pool - 38.0 Fox Mill Estates
High Point Pool,Week5,Virginia Hills,Week3,308.0 High Point Pool - 112.0 Virginia Hills
Hiddenbrook,Week4,Parklawn,Week5,225.0 Parklawn - 195.0 Hiddenbrook
Hiddenbrook,Week3,Kent Gardens,Week4,287.0 Kent Gardens - 133.0 Hiddenbrook
Highland Park,Week5,Chesterbrook,Week1,362.0 Chesterbrook - 58.0 Highland Park
Hiddenbrook,Week5,Highlands Swim,Week5,292.0 Highlands Swim - 128.0 Hiddenbrook
Hiddenbrook,Week3,Vienna Aquatic,Week1,240.5 Vienna Aquatic - 179.5 Hiddenbrook
Highland Park,Week4,Commonwealth,Week1,227.0 Commonwealth - 193.0 Highland Park
High Point Pool,Week2,Fox Mill Estates,Week2,379.0 High Point Pool - 40.0 Fox Mill Estates
Highland Park,Week1,Fairfax,Week5,255.0 Fairfax - 151.0 Highland Park
Hiddenbrook,Week1,Hollin Hills,Week2,322.0 Hiddenbrook - 89.0 Hollin Hills
Hiddenbrook,Week3,Kent Gardens,Week5,295.0 Kent Gardens - 125.0 Hiddenbrook
Hiddenbrook,Week5,Vienna Aquatic,Week1,222.0 Hiddenbrook - 198.0 Vienna Aquatic
Highland Park,Week5,Fair Oaks ,Week5,286.0 Fair Oaks - 134.0 Highland Park
Hiddenbrook,Week5,Parklawn,Week4,224.0 Hiddenbrook - 196.0 Parklawn
High Point Pool,Week4,Virginia Hills,Week1,294.0 High Point Pool - 126.0 Virginia Hills
High Point Pool,Week5,Fox Mill Estates,Week5,381.0 High Point Pool - 38.0 Fox Mill Estates
Highland Park,Week2,Commonwealth,Week1,232.0 Commonwealth - 188.0 Highland Park
Hiddenbrook,Week2,Vienna Aquatic,Week1,236.0 Vienna Aquatic - 184.0 Hiddenbrook
Hiddenbrook,Week3,Highlands Swim,Week1,310.0 Highlands Swim - 110.0 Hiddenbrook
Hiddenbrook,Week4,Parklawn,Week1,229.0 Hiddenbrook - 191.0 Parklawn
High Point Pool,Week3,Virginia Hills,Week2,315.0 High Point Pool - 105.0 Virginia Hills
Hiddenbrook,Week2,Rolling Forest,Week3,304.0 Hiddenbrook - 111.0 Rolling Forest
Hiddenbrook,Week4,Kent Gardens,Week1,240.0 Kent Gardens - 180.0 Hiddenbrook
Highland Park,Week4,Commonwealth,Week5,254.0 Commonwealth - 165.0 Highland Park
Hiddenbrook,Week2,Rolling Forest,Week2,322.0 Hiddenbrook - 98.0 Rolling Forest
High Point Pool,Week5,Fox Mill Estates,Week3,366.0 High Point Pool - 39.0 Fox Mill Estates
Highland Park,Week2,Fairfax,Week4,205.0 Fairfax - 197.0 Highland Park
Hiddenbrook,Week2,Parliament,Week4,300.0 Hiddenbrook - 120.0 Parliament
High Point Pool,Week5,Virginia Hills,Week5,290.5 High Point Pool - 129.5 Virginia Hills
High Point Pool,Week1,Virginia Run,Week2,290.0 High Point Pool - 130.0 Virginia Run
Hiddenbrook,Week4,Kent Gardens,Week2,269.0 Kent Gardens - 151.0 Hiddenbrook
High Point Pool,Week3,Fox Mill Estates,Week5,376.0 High Point Pool - 44.0 Fox Mill Estates
Hiddenbrook,Week3,Vienna Aquatic,Week4,237.0 Vienna Aquatic - 183.0 Hiddenbrook
Highland Park,Week4,Commonwealth,Week3,236.5 Commonwealth - 183.5 Highland Park
Hiddenbrook,Week4,Highlands Swim,Week1,301.5 Highlands Swim - 118.5 Hiddenbrook
Hiddenbrook,Week4,Vienna Aquatic,Week1,227.0 Vienna Aquatic - 193.0 Hiddenbrook
Highland Park,Week5,Commonwealth,Week4,240.0 Commonwealth - 180.0 Highland Park
Hiddenbrook,Week4,Parliament,Week2,331.0 Hiddenbrook - 89.0 Parliament
High Point Pool,Week1,Virginia Run,Week5,270.0 High Point Pool - 150.0 Virginia Run
Hiddenbrook,Week4,Ilda Community,Week3,371.0 Hiddenbrook - 49.0 Ilda Community
Hiddenbrook,Week4,Parliament,Week1,315.0 Hiddenbrook - 105.0 Parliament
Hiddenbrook,Week5,Ilda Community,Week5,362.0 Hiddenbrook - 58.0 Ilda Community
Hiddenbrook,Week1,Vienna Aquatic,Week2,234.0 Vienna Aquatic - 186.0 Hiddenbrook
Highland Park,Week5,Commonwealth,Week5,216.5 Commonwealth - 202.5 Highland Park
Highland Park,Week5,Fairfax,Week5,213.0 Fairfax - 202.0 Highland Park
High Point Pool,Week3,Virginia Run,Week1,323.0 High Point Pool - 97.0 Virginia Run
Hiddenbrook,Week2,Rolling Forest,Week4,285.5 Hiddenbrook - 134.5 Rolling Forest
Hiddenbrook,Week3,Highlands Swim,Week2,310.0 Highlands Swim - 110.0 Hiddenbrook
High Point Pool,Week4,Virginia Hills,Week5,288.0 High Point Pool - 132.0 Virginia Hills
High Point Pool,Week1,Fox Mill Estates,Week3,360.0 High Point Pool - 45.0 Fox Mill Estates
Hiddenbrook,Week5,Tuckahoe,Week2,343.0 Tuckahoe - 77.0 Hiddenbrook
High Point Pool,Week5,Fox Hunt,Week4,221.0 High Point Pool - 199.0 Fox Hunt
Hiddenbrook,Week1,Kent Gardens,Week1,264.0 Kent Gardens - 156.0 Hiddenbrook
Hiddenbrook,Week5,Highlands Swim,Week2,283.0 Highlands Swim - 137.0 Hiddenbrook
Hiddenbrook,Week2,Rolling Forest,Week5,304.0 Hiddenbrook - 116.0 Rolling Forest
Hiddenbrook,Week3,Parliament,Week1,302.0 Hiddenbrook - 118.0 Parliament
Hiddenbrook,Week3,Rolling Forest,Week2,323.0 Hiddenbrook - 93.0 Rolling Forest
Highland Park,Week5,Fairfax,Week1,212.0 Fairfax - 190.0 Highland Park
Highland Park,Week1,Cottontail,Week1,259.0 Cottontail - 161.0 Highland Park
High Point Pool,Week2,Fox Mill Estates,Week5,377.0 High Point Pool - 42.0 Fox Mill Estates
Hiddenbrook,Week4,Pinecrest,Week4,218.0 Pinecrest - 202.0 Hiddenbrook
Highland Park,Week1,Cottontail,Week5,285.0 Cottontail - 135.0 Highland Park
Hiddenbrook,Week4,Parliament,Week3,318.0 Hiddenbrook - 102.0 Parliament
High Point Pool,Week3,Virginia Run,Week2,311.0 High Point Pool - 109.0 Virginia Run
Hiddenbrook,Week5,Pinecrest,Week3,240.5 Hiddenbrook - 179.5 Pinecrest
Hiddenbrook,Week3,Vienna Woods,Week1,231.0 Vienna Woods - 189.0 Hiddenbrook
Hiddenbrook,Week3,Rolling Forest,Week3,308.0 Hiddenbrook - 106.0 Rolling Forest
Hiddenbrook,Week4,Vienna Aquatic,Week2,234.0 Vienna Aquatic - 186.0 Hiddenbrook
Hiddenbrook,Week1,Kent Gardens,Week4,294.0 Kent Gardens - 126.0 Hiddenbrook
Hiddenbrook,Week3,Rolling Forest,Week4,282.0 Hiddenbrook - 137.0 Rolling Forest
High Point Pool,Week3,Fox Mill Estates,Week2,377.0 High Point Pool - 43.0 Fox Mill Estates
Hiddenbrook,Week1,Rolling Forest,Week3,306.0 Hiddenbrook - 109.0 Rolling Forest
Highland Park,Week5,Fair Oaks ,Week2,291.0 Fair Oaks - 129.0 Highland Park
High Point Pool,Week3,Virginia Run,Week3,305.0 High Point Pool - 115.0 Virginia Run
Hiddenbrook,Week1,Kent Gardens,Week5,291.0 Kent Gardens - 129.0 Hiddenbrook
Highland Park,Week4,Cottontail,Week5,265.0 Cottontail - 155.0 Highland Park
Highland Park,Week1,Fairfax,Week4,210.0 Fairfax - 187.0 Highland Park
Highland Park,Week5,Cottontail,Week4,247.0 Cottontail - 173.0 Highland Park
Hiddenbrook,Week3,Rolling Forest,Week1,313.0 Hiddenbrook - 101.0 Rolling Forest
High Point Pool,Week5,Fox Hunt,Week5,210.5 High Point Pool - 209.5 Fox Hunt
Hiddenbrook,Week4,Ilda Community,Week4,364.0 Hiddenbrook - 56.0 Ilda Community
Hiddenbrook,Week3,Vienna Aquatic,Week3,260.0 Vienna Aquatic - 160.0 Hiddenbrook
High Point Pool,Week4,Fox Mill Estates,Week1,363.0 High Point Pool - 39.0 Fox Mill Estates
High Point Pool,Week4,Fox Mill Estates,Week2,379.0 High Point Pool - 41.0 Fox Mill Estates
Hiddenbrook,Week5,Ilda Community,Week4,369.0 Hiddenbrook - 51.0 Ilda Community
Highland Park,Week1,Cottontail,Week2,247.0 Cottontail - 169.0 Highland Park
Hiddenbrook,Week2,Pinecrest,Week3,216.0 Pinecrest - 204.0 Hiddenbrook
Hiddenbrook,Week2,Vienna Aquatic,Week4,243.0 Vienna Aquatic - 177.0 Hiddenbrook
Hiddenbrook,Week2,Kent Gardens,Week4,296.0 Kent Gardens - 124.0 Hiddenbrook
Hiddenbrook,Week2,Vienna Aquatic,Week3,262.0 Vienna Aquatic - 158.0 Hiddenbrook
High Point Pool,Week2,Virginia Run,Week5,283.0 High Point Pool - 136.0 Virginia Run
Hiddenbrook,Week1,Pinecrest,Week2,216.0 Hiddenbrook - 204.0 Pinecrest
High Point Pool,Week3,Virginia Run,Week4,336.0 High Point Pool - 84.0 Virginia Run
Hiddenbrook,Week5,Tuckahoe,Week5,358.0 Tuckahoe - 62.0 Hiddenbrook
High Point Pool,Week4,Virginia Run,Week1,315.0 High Point Pool - 105.0 Virginia Run
High Point Pool,Week2,Fox Mill Estates,Week3,365.0 High Point Pool - 40.0 Fox Mill Estates
Hiddenbrook,Week5,Parliament,Week1,333.0 Hiddenbrook - 87.0 Parliament
Highland Park,Week5,Fair Oaks ,Week4,299.0 Fair Oaks - 121.0 Highland Park
Hiddenbrook,Week5,Ilda Community,Week1,369.0 Hiddenbrook - 37.0 Ilda Community
Hiddenbrook,Week4,Vienna Aquatic,Week5,252.0 Vienna Aquatic - 168.0 Hiddenbrook
Hiddenbrook,Week5,Langley,Week4,232.0 Langley - 188.0 Hiddenbrook
High Point Pool,Week2,Fox Mill Estates,Week4,376.0 High Point Pool - 43.0 Fox Mill Estates
Highland Park,Week2,Cottontail,Week1,252.5 Cottontail - 167.5 Highland Park
High Point Pool,Week3,Virginia Run,Week5,308.0 High Point Pool - 112.0 Virginia Run
Hiddenbrook,Week2,Pinecrest,Week5,247.0 Pinecrest - 173.0 Hiddenbrook
Hiddenbrook,Week5,Ilda Community,Week2,370.0 Hiddenbrook - 41.0 Ilda Community
High Point Pool,Week2,Sideburn Run,Week1,348.0 High Point Pool - 71.0 Sideburn Run
Hiddenbrook,Week4,Langley,Week5,266.0 Langley - 154.0 Hiddenbrook
Highland Park,Week1,Cottontail,Week4,294.0 Cottontail - 125.0 Highland Park
High Point Pool,Week3,Fox Mill Estates,Week4,375.0 High Point Pool - 45.0 Fox Mill Estates
High Point Pool,Week1,Fox Mill Estates,Week2,368.0 High Point Pool - 51.0 Fox Mill Estates
Hiddenbrook,Week3,Pinecrest,Week1,234.0 Hiddenbrook - 185.0 Pinecrest
Hiddenbrook,Week1,Vienna Aquatic,Week1,248.0 Vienna Aquatic - 172.0 Hiddenbrook
Hiddenbrook,Week3,Langley,Week2,237.0 Langley - 183.0 Hiddenbrook
Highland Park,Week2,Country Club Hills,Week5,211.5 Country Club Hills - 207.5 Highland Park
High Point Pool,Week4,Virginia Run,Week2,312.0 High Point Pool - 108.0 Virginia Run
Hiddenbrook,Week3,Pinecrest,Week2,215.0 Hiddenbrook - 205.0 Pinecrest
Hiddenbrook,Week2,Vienna Aquatic,Week5,282.0 Vienna Aquatic - 138.0 Hiddenbrook
Hiddenbrook,Week4,Lakevale Estates,Week1,292.0 Hiddenbrook - 128.0 Lakevale Estates
Hiddenbrook,Week5,Langley,Week1,226.0 Langley - 194.0 Hiddenbrook
Highland Park,Week4,Fairfax,Week1,234.0 Fairfax - 168.0 Highland Park
Hiddenbrook,Week5,Lakeview,Week3,236.0 Hiddenbrook - 166.0 Lakeview
Hiddenbrook,Week4,Lakevale Estates,Week2,269.0 Hiddenbrook - 150.0 Lakevale Estates
Hiddenbrook,Week1,Lakevale Estates,Week4,261.0 Hiddenbrook - 158.0 Lakevale Estates
High Point Pool,Week1,Fox Mill Estates,Week5,368.0 High Point Pool - 51.0 Fox Mill Estates
Highland Park,Week4,Fairfax,Week4,203.0 Highland Park - 202.0 Fairfax
High Point Pool,Week2,Sideburn Run,Week3,345.0 High Point Pool - 75.0 Sideburn Run
Hiddenbrook,Week5,Lake Braddock,Week5,355.0 Hiddenbrook - 65.0 Lake Braddock
Highland Park,Week2,Fairfax,Week5,244.0 Fairfax - 170.0 Highland Park
Hiddenbrook,Week2,Kent Gardens,Week5,292.0 Kent Gardens - 128.0 Hiddenbrook
Hiddenbrook,Week3,Langley,Week4,252.0 Langley - 168.0 Hiddenbrook
Hiddenbrook,Week1,Pinecrest,Week5,243.0 Pinecrest - 177.0 Hiddenbrook
Hiddenbrook,Week4,Vienna Aquatic,Week3,249.0 Vienna Aquatic - 171.0 Hiddenbrook
Hiddenbrook,Week3,Vienna Aquatic,Week2,242.5 Vienna Aquatic - 176.5 Hiddenbrook
High Point Pool,Week3,Sideburn Run,Week2,336.0 High Point Pool - 84.0 Sideburn Run
High Point Pool,Week5,Fox Mill Estates,Week1,359.0 High Point Pool - 43.0 Fox Mill Estates
Highland Park,Week1,Fairfax,Week2,245.0 Fairfax - 157.0 Highland Park
High Point Pool,Week5,Fox Mill Estates,Week2,374.0 High Point Pool - 45.0 Fox Mill Estates
High Point Pool,Week4,Sideburn Run,Week4,351.0 High Point Pool - 69.0 Sideburn Run
Hiddenbrook,Week4,Lakevale Estates,Week3,279.0 Hiddenbrook - 141.0 Lakevale Estates
Highland Park,Week2,Cottontail,Week2,232.0 Cottontail - 187.0 Highland Park
Hiddenbrook,Week1,Vienna Aquatic,Week5,278.0 Vienna Aquatic - 142.0 Hiddenbrook
Hiddenbrook,Week4,Pinecrest,Week1,243.0 Hiddenbrook - 177.0 Pinecrest
Hiddenbrook,Week3,Lakevale Estates,Week5,250.0 Hiddenbrook - 169.0 Lakevale Estates
Highland Park,Week2,Cottontail,Week5,265.0 Cottontail - 155.0 Highland Park
Hiddenbrook,Week5,Lakeview,Week2,241.0 Hiddenbrook - 179.0 Lakeview
Hiddenbrook,Week5,Parliament,Week3,326.0 Hiddenbrook - 94.0 Parliament
Hiddenbrook,Week3,Pinecrest,Week4,230.0 Pinecrest - 190.0 Hiddenbrook
Hiddenbrook,Week5,Langley,Week3,221.0 Langley - 199.0 Hiddenbrook
High Point Pool,Week1,Sleepy Hollow B & R,Week3,262.0 High Point Pool - 158.0 Sleepy Hollow B & R
Hiddenbrook,Week4,Vienna Aquatic,Week4,225.5 Vienna Aquatic - 194.5 Hiddenbrook
High Point Pool,Week4,Fox Mill Estates,Week5,375.0 High Point Pool - 45.0 Fox Mill Estates
Hiddenbrook,Week3,Lakevale Estates,Week4,275.0 Hiddenbrook - 144.0 Lakevale Estates
Hiddenbrook,Week1,Langley,Week5,275.0 Langley - 145.0 Hiddenbrook
High Point Pool,Week4,Sideburn Run,Week3,339.0 High Point Pool - 81.0 Sideburn Run
Hiddenbrook,Week3,Vienna Aquatic,Week5,265.0 Vienna Aquatic - 155.0 Hiddenbrook
Hiddenbrook,Week1,Lakevale Estates,Week1,269.0 Hiddenbrook - 151.0 Lakevale Estates
