First Team,First Week,Second Team,Second Week,Score
Annandale,Week4,Greenbriar,Week3,268.0 Greenbriar - 51.0 Annandale
Annandale,Week4,Broyhill Crest,Week3,186.0 Annandale - 131.0 Broyhill Crest
Arlington Forest,Week1,Lakeview,Week1,221.0 Lakeview - 199.0 Arlington Forest
Arlington Forest,Week2,Sleepy Hollow B & R,Week1,226.0 Sleepy Hollow B & R - 194.0 Arlington Forest
Arlington Forest,Week3,Fox Mill Estates,Week2,340.0 Arlington Forest - 76.0 Fox Mill Estates
Annandale,Week3,McLean,Week4,296.0 McLean - 82.0 Annandale
Annandale,Week5,Greenbriar,Week4,293.0 Greenbriar - 71.0 Annandale
Arlington Forest,Week4,Sideburn Run,Week3,309.0 Arlington Forest - 110.0 Sideburn Run
Arlington Forest,Week1,Lakeview,Week2,229.0 Lakeview - 190.0 Arlington Forest
Arlington Forest,Week5,Forest Hollow,Week3,256.0 Arlington Forest - 164.0 Forest Hollow
Annandale,Week3,Springfield,Week2,212.0 Annandale - 109.0 Springfield
Arlington Forest,Week2,Sideburn Run,Week4,293.0 Arlington Forest - 127.0 Sideburn Run
Annandale,Week4,McLean,Week2,253.5 McLean - 65.5 Annandale
Annandale,Week3,McLean,Week5,318.0 McLean - 60.0 Annandale
Arlington Forest,Week1,Fox Hunt,Week4,280.0 Fox Hunt - 140.0 Arlington Forest
Annandale,Week4,McLean,Week1,251.0 McLean - 68.0 Annandale
Annandale,Week5,Annandale,Week2,206.0 Annandale (A1) - 132.0 Annandale (A2)
Annandale,Week1,Broyhill Crest,Week4,231.0 Annandale - 143.0 Broyhill Crest
Annandale,Week1,Fox Mill Woods,Week1,200.0 Fox Mill Woods - 175.0 Annandale
Arlington Forest,Week3,Sideburn Run,Week4,295.0 Arlington Forest - 125.0 Sideburn Run
Arlington Forest,Week2,Sideburn Run,Week3,298.0 Arlington Forest - 121.0 Sideburn Run
Arlington Forest,Week5,Forest Hollow,Week5,245.0 Arlington Forest - 174.0 Forest Hollow
Arlington Forest,Week2,Lakeview,Week1,226.0 Lakeview - 194.0 Arlington Forest
Arlington Forest,Week2,Fox Hunt,Week3,273.0 Fox Hunt - 147.0 Arlington Forest
Annandale,Week3,Springfield,Week4,216.0 Annandale - 135.0 Springfield
Arlington Forest,Week2,Fox Hunt,Week2,293.0 Fox Hunt - 127.0 Arlington Forest
Annandale,Week4,McLean,Week4,251.0 McLean - 68.0 Annandale
Annandale,Week5,McLean,Week1,275.0 McLean - 89.0 Annandale
Annandale,Week1,Stratford,Week3,249.0 Stratford - 128.0 Annandale
Annandale,Week5,Fox Mill Estates,Week4,187.0 Annandale - 169.0 Fox Mill Estates
Annandale,Week1,Fox Mill Woods,Week2,195.0 Fox Mill Woods - 178.0 Annandale
Annandale,Week4,Fox Mill Estates,Week3,160.0 Annandale - 141.0 Fox Mill Estates
Annandale,Week5,Annandale,Week3,181.0 Annandale (A2) - 172.0 Annandale (A1)
Annandale,Week3,Annandale,Week2,235.0 Annandale (A1) - 117.0 Annandale (A2)
Annandale,Week1,Fox Mill Estates,Week3,189.0 Annandale - 167.0 Fox Mill Estates
Arlington Forest,Week2,Fox Hunt,Week5,316.0 Fox Hunt - 104.0 Arlington Forest
Arlington Forest,Week3,Sideburn Run,Week5,255.0 Arlington Forest - 163.0 Sideburn Run
Annandale,Week3,Springfield,Week5,205.0 Annandale - 135.0 Springfield
Annandale,Week2,Stratford,Week3,257.0 Stratford - 106.0 Annandale
Arlington Forest,Week4,Sideburn Run,Week4,303.0 Arlington Forest - 117.0 Sideburn Run
Arlington Forest,Week3,Fox Hunt,Week4,282.0 Fox Hunt - 138.0 Arlington Forest
Annandale,Week2,Stratford,Week2,269.0 Stratford - 95.0 Annandale
Annandale,Week3,Fox Mill Estates,Week5,195.0 Fox Mill Estates - 177.0 Annandale
Arlington Forest,Week1,Fox Hunt,Week1,270.5 Fox Hunt - 149.5 Arlington Forest
Annandale,Week3,Annandale,Week3,179.0 Annandale (A1) - 179.0 Annandale (A2)
Annandale,Week2,Stratford,Week1,276.0 Stratford - 86.0 Annandale
Arlington Forest,Week3,Oakton ,Week2,294.0 Oakton - 126.0 Arlington Forest
Arlington Forest,Week1,Sleepy Hollow B & R,Week2,229.0 Sleepy Hollow B & R - 191.0 Arlington Forest
Annandale,Week1,Arlington Forest,Week3,283.0 Arlington Forest - 94.0 Annandale
Arlington Forest,Week5,Fox Hunt,Week4,260.5 Fox Hunt - 159.5 Arlington Forest
Annandale,Week2,Stratford,Week4,277.5 Stratford - 89.5 Annandale
Annandale,Week5,Annandale,Week4,183.0 Annandale (A1) - 128.0 Annandale (A2)
Annandale,Week4,Mosby Woods,Week2,184.0 Mosby Woods - 131.0 Annandale
Annandale,Week1,Mosby Woods,Week5,253.0 Mosby Woods - 124.0 Annandale
Annandale,Week4,Mosby Woods,Week1,178.0 Mosby Woods - 137.0 Annandale
Annandale,Week1,Mosby Woods,Week2,223.0 Mosby Woods - 151.0 Annandale
Arlington Forest,Week3,Oakton ,Week5,303.0 Oakton - 117.0 Arlington Forest
Annandale,Week5,Springfield,Week4,217.0 Annandale - 122.0 Springfield
Annandale,Week2,Fox Mill Estates,Week2,179.0 Annandale - 178.0 Fox Mill Estates
Annandale,Week1,Stratford,Week2,267.0 Stratford - 110.0 Annandale
Annandale,Week1,Arlington Forest,Week2,279.0 Arlington Forest - 98.0 Annandale
Annandale,Week3,Mosby Woods,Week2,210.0 Mosby Woods - 166.0 Annandale
Arlington Forest,Week5,Fox Hunt,Week5,289.0 Fox Hunt - 131.0 Arlington Forest
Arlington Forest,Week4,Fox Hunt,Week4,280.0 Fox Hunt - 140.0 Arlington Forest
Annandale,Week2,Fox Mill Woods,Week5,214.0 Fox Mill Woods - 153.0 Annandale
Annandale,Week3,Annandale,Week1,194.0 Annandale (A1) - 173.0 Annandale (A2)
Arlington Forest,Week2,Oakton ,Week5,306.0 Oakton - 114.0 Arlington Forest
Annandale,Week1,Annandale,Week5,184.5 Annandale (A2) - 165.5 Annandale (A1)
Annandale,Week3,Mosby Woods,Week5,250.0 Mosby Woods - 128.0 Annandale
Annandale,Week4,Springfield,Week4,193.0 Annandale - 113.0 Springfield
Arlington Forest,Week3,Sleepy Hollow B & R,Week1,213.0 Arlington Forest - 207.0 Sleepy Hollow B & R
Arlington Forest,Week3,Sleepy Hollow B & R,Week4,237.0 Sleepy Hollow B & R - 183.0 Arlington Forest
Annandale,Week3,Fox Mill Estates,Week4,193.0 Annandale - 181.0 Fox Mill Estates
Annandale,Week1,Arlington Forest,Week1,288.0 Arlington Forest - 89.0 Annandale
Arlington Forest,Week1,Sleepy Hollow B & R,Week3,223.0 Sleepy Hollow B & R - 197.0 Arlington Forest
Annandale,Week2,Fox Mill Estates,Week5,201.0 Fox Mill Estates - 153.0 Annandale
Annandale,Week5,Springfield,Week2,206.0 Annandale - 104.0 Springfield
Annandale,Week3,Fox Mill Woods,Week2,205.0 Annandale - 170.0 Fox Mill Woods
Arlington Forest,Week2,Sleepy Hollow B & R,Week2,237.0 Sleepy Hollow B & R - 183.0 Arlington Forest
Arlington Forest,Week4,Sleepy Hollow B & R,Week1,216.0 Sleepy Hollow B & R - 204.0 Arlington Forest
Arlington Forest,Week5,Fox Hunt,Week1,261.0 Fox Hunt - 158.0 Arlington Forest
Arlington Forest,Week1,Fox Mill Estates,Week1,334.0 Arlington Forest - 67.0 Fox Mill Estates
Arlington Forest,Week5,Oakton ,Week5,279.0 Oakton - 141.0 Arlington Forest
Annandale,Week4,Annandale,Week5,183.0 Annandale (A2) - 128.0 Annandale (A1)
Annandale,Week4,Fox Mill Estates,Week1,158.0 Annandale - 152.0 Fox Mill Estates
Arlington Forest,Week5,Sleepy Hollow B & R,Week1,212.0 Arlington Forest - 208.0 Sleepy Hollow B & R
Arlington Forest,Week5,Oakton ,Week2,272.0 Oakton - 148.0 Arlington Forest
Arlington Forest,Week4,Sleepy Hollow B & R,Week2,216.0 Sleepy Hollow B & R - 204.0 Arlington Forest
Annandale,Week2,Mosby Woods,Week1,226.0 Mosby Woods - 137.0 Annandale
Annandale,Week4,Springfield,Week1,195.0 Annandale - 98.0 Springfield
Annandale,Week4,Fox Mill Estates,Week4,160.0 Fox Mill Estates - 152.0 Annandale
Annandale,Week1,Annandale,Week4,171.0 Annandale (A1) - 143.0 Annandale (A2)
Arlington Forest,Week4,Fox Hunt,Week3,266.5 Fox Hunt - 153.5 Arlington Forest
Annandale,Week2,Fox Mill Estates,Week4,192.0 Fox Mill Estates - 167.0 Annandale
Arlington Forest,Week1,Fox Mill Estates,Week2,349.0 Arlington Forest - 70.0 Fox Mill Estates
Arlington Forest,Week4,Sleepy Hollow B & R,Week5,239.0 Sleepy Hollow B & R - 181.0 Arlington Forest
Annandale,Week5,Annandale,Week5,173.0 Annandale (A1) - 173.0 Annandale (A2)
Arlington Forest,Week3,Oakton ,Week1,257.0 Oakton - 163.0 Arlington Forest
Arlington Forest,Week5,Sleepy Hollow B & R,Week2,213.0 Sleepy Hollow B & R - 207.0 Arlington Forest
Arlington Forest,Week4,Fox Hunt,Week5,320.0 Fox Hunt - 100.0 Arlington Forest
Annandale,Week4,Fox Mill Estates,Week5,170.0 Fox Mill Estates - 143.0 Annandale
Annandale,Week5,McLean,Week4,279.0 McLean - 86.0 Annandale
Annandale,Week1,Stratford,Week4,267.0 Stratford - 110.0 Annandale
Arlington Forest,Week4,Fox Hunt,Week2,277.0 Fox Hunt - 143.0 Arlington Forest
Arlington Forest,Week3,Old Keene Mill,Week4,341.0 Old Keene Mill - 79.0 Arlington Forest
Annandale,Week2,Annandale,Week3,235.0 Annandale (A2) - 117.0 Annandale (A1)
Arlington Forest,Week4,Sleepy Hollow B & R,Week3,212.0 Sleepy Hollow B & R - 208.0 Arlington Forest
Arlington Forest,Week1,Fox Mill Estates,Week3,347.0 Arlington Forest - 58.0 Fox Mill Estates
Arlington Forest,Week5,Sleepy Hollow B & R,Week3,211.0 Sleepy Hollow B & R - 208.0 Arlington Forest
Annandale,Week3,Annandale,Week4,184.0 Annandale (A1) - 131.0 Annandale (A2)
Annandale,Week2,Annandale,Week5,206.0 Annandale (A2) - 132.0 Annandale (A1)
Arlington Forest,Week5,Fox Hunt,Week2,258.0 Fox Hunt - 161.0 Arlington Forest
Annandale,Week5,Stratford,Week3,227.0 Stratford - 137.0 Annandale
Arlington Forest,Week1,Fox Mill Estates,Week4,341.0 Arlington Forest - 79.0 Fox Mill Estates
Annandale,Week3,Sully Station,Week1,244.0 Sully Station - 130.0 Annandale
Annandale,Week1,Mosby Woods,Week1,229.5 Mosby Woods - 144.5 Annandale
Annandale,Week3,Fox Mill Estates,Week1,192.0 Annandale - 163.0 Fox Mill Estates
