Year,Rank,Team,Average ELO,Average Ranking
2019,75,Annandale,1223.27,74.77
2019,76,Sully Station II,1218.26,75.09
2019,77,Cottontail,1191.8,76.79
2019,78,Kings Ridge,1163.52,78.01
2019,79,Woodley,1132.67,79.47
2019,80,Fox Hunt,1116.99,80.23
2019,81,Daventry,1109.79,80.61
2019,82,Poplar Tree,1094.36,81.42
2019,83,Rolling Valley,1039.12,82.95
2019,84,Parklawn,983.65,83.99
2019,85,Laurel Hill,910.27,85.0
2019,86,Lake Braddock,826.59,86.54
2019,87,Ilda Community,819.01,86.87
2019,88,Herndon,797.84,87.84
2019,89,Hollin Hills,772.65,88.75
2019,90,Burke Station,710.98,90.44
2019,91,Parliament,702.69,90.6
2019,92,Newington Forest,641.54,92.47
2019,93,Long Branch,625.45,93.04
2019,94,Pleasant Valley,616.6,93.46
2019,95,Village West,543.04,95.57
2019,96,Lincolnia Park,536.55,95.77
2019,97,Commonwealth,516.26,96.65
2019,98,Broyhill Crest,420.46,98.12
2019,99,North Springfield,391.94,98.88
2019,100,Springfield,230.75,100.15
2019,101,Pinewood Lake,212.19,100.85
2019,102,Edsall Park,89.87,102.0
2021,1,Chesterbrook,3127.79,1.29
2021,2,Tuckahoe,3113.54,1.75
2021,3,Overlee,3072.61,2.97
2021,4,Donaldson Run,3013.29,3.99
2021,5,Highlands Swim,2872.93,5.07
2021,6,Fair Oaks,2833.8,6.19
2021,7,Langley,2822.25,6.74
2021,8,McLean,2727.67,8.36
2021,9,Crosspointe,2717.47,8.64
2021,10,Hamlet,2577.02,10.02
2021,11,Wakefield Chapel,2517.37,11.58
2021,12,Old Keene Mill,2498.27,12.77
2021,13,Oakton,2483.29,13.96
2021,14,Kent Gardens,2479.64,14.2
2021,15,Hunt Valley,2478.86,14.3
2021,16,Little Rocky Run,2476.58,14.59
2021,17,High Point Pool,2441.99,16.95
2021,18,Vienna Woods,2418.99,17.87
2021,19,Dowden Terrace,2390.62,18.76
2021,20,Cardinal Hill,2294.0,20.17
2021,21,Vienna Aquatic,2262.15,21.08
2021,22,Mantua,2226.54,22.8
2021,23,Mount Vernon Park,2223.56,22.91
2021,24,Orange Hunt,2217.45,23.3
2021,25,Virginia Run,2182.13,24.74
2021,26,Brandywine,2111.1,26.29
2021,27,Little Hunting Park,2087.15,27.05
2021,28,Hiddenbrook,2065.38,27.94
2021,29,Lee Graham,2038.29,29.07
2021,30,Sleepy Hollow Rec,2007.82,30.3
2021,31,Virginia Hills,2006.93,30.35
2021,32,Pinecrest,1917.9,32.57
2021,33,Canterbury Woods,1913.79,32.68
2021,34,Fairfax Station,1875.92,33.78
2021,35,Lakevale Estates,1805.1,36.53
2021,36,Dunn Loring,1799.92,36.6
2021,37,Waynewood,1789.82,37.59
2021,38,Dominion Hills,1782.2,38.21
2021,39,South Run,1775.94,38.8
2021,40,Lakeview,1768.63,39.36
2021,41,Springboard,1754.16,40.86
2021,42,Ravensworth Farm,1751.61,41.07
2021,43,Sleepy Hollow B & R,1725.32,43.13
2021,44,Cottontail,1714.82,43.83
2021,45,Country Club Hills,1703.47,44.49
2021,46,Fairfax,1663.89,46.64
2021,47,Arlington Forest,1653.75,47.23
2021,48,Poplar Heights,1650.5,47.39
2021,49,Rolling Hills,1635.36,48.25
2021,50,Hunter Mill,1556.68,50.18
2021,51,Greenbriar,1508.72,51.99
2021,52,Villa Aquatic,1503.41,52.15
2021,53,Parklawn,1476.6,53.91
2021,54,Great Falls,1476.19,53.99
2021,55,Highland Park,1466.91,54.6
2021,56,Riverside Gardens,1459.27,55.23
2021,57,Sully Station,1440.32,56.49
2021,58,Daventry,1408.98,58.35
2021,59,Walden Glen,1387.05,59.86
2021,60,Forest Hollow,1375.1,60.81
2021,61,Mansion House,1361.2,62.14
2021,62,Fairfax Club Estates,1356.78,62.59
2021,63,Fox Hunt,1356.03,62.67
2021,64,Rolling Forest,1340.39,64.31
2021,65,Camelot,1339.62,64.18
2021,66,Poplar Tree,1330.96,65.27
2021,67,Stratford,1317.16,66.39
2021,68,Sideburn Run,1303.06,67.59
2021,69,Hayfield Farm,1302.54,67.75
2021,70,Rolling Valley,1255.23,71.04
2021,71,Shouse Village,1249.34,71.32
2021,72,Hollin Meadows,1247.17,71.65
2021,73,Mosby Woods,1227.83,72.97
2021,74,Somerset-Olde Creek,1219.52,73.33
2021,75,Truro,1199.96,74.35
2021,76,Brookfield,1159.26,75.97
2021,77,Holmes Run Acres,1113.92,77.24
2021,78,Sully Station II,1089.11,78.05
2021,79,Woodley,1068.58,79.12
2021,80,Rutherford,1043.44,80.19
2021,81,Fox Mill Estates,1029.75,80.94
2021,82,Laurel Hill,1015.15,81.53
2021,83,Kings Ridge,972.23,83.39
2021,84,Annandale,948.8,84.65
2021,85,Lake Braddock,947.14,84.84
2021,86,Fox Mill Woods,942.1,84.96
2021,87,Parliament,847.73,87.46
2021,88,Hollin Hills,842.9,87.64
2021,89,Lincolnia Park,794.71,88.9
2021,90,Burke Station,716.84,90.01
2021,91,Herndon,629.12,91.55
2021,92,Commonwealth,617.01,91.94
2021,93,Long Branch,602.46,92.51
2021,94,Ilda Community,523.93,94.02
2021,95,Village West,471.98,95.03
2021,96,Broyhill Crest,421.58,96.6
2021,97,Newington Forest,415.85,96.95
2021,98,North Springfield,408.41,97.39
2021,99,Pleasant Valley,273.63,99.24
2021,100,Springfield,255.7,99.76
2021,101,Pinewood Lake,109.08,101.0
2021,102,Edsall Park,4.68,102.0
2022,1,Chesterbrook,3118.98,1.18
2022,2,Tuckahoe,3095.35,1.84
2022,3,Overlee,3051.7,2.98
2022,4,Donaldson Run,2878.33,4.26
2022,5,Highlands Swim,2862.23,4.84
2022,6,Fair Oaks,2820.46,5.92
2022,7,McLean,2748.54,7.08
2022,8,Kent Gardens,2714.2,7.92
2022,9,Langley,2657.06,9.64
2022,10,Crosspointe,2647.53,10.1
2022,11,Old Keene Mill,2644.35,10.24
2022,12,Hamlet,2510.88,12.38
2022,13,Little Rocky Run,2497.19,12.89
2022,14,Cardinal Hill,2470.79,13.74
2022,15,Wakefield Chapel,2395.1,15.24
2022,16,Orange Hunt,2376.3,15.78
2022,17,High Point Pool,2319.15,17.03
2022,18,Hunt Valley,2255.34,18.94
2022,19,Mantua,2253.61,18.84
2022,20,Vienna Woods,2240.45,19.51
2022,21,Lee Graham,2211.87,20.72
2022,22,Oakton,2172.18,22.16
2022,23,Little Hunting Park,2130.71,24.11
2022,24,Dunn Loring,2129.7,24.28
2022,25,Vienna Aquatic,2120.01,24.97
2022,26,Mount Vernon Park,2110.88,25.64
2022,27,Virginia Run,2084.64,27.55
2022,28,Hiddenbrook,2083.47,27.65
2022,29,Virginia Hills,2052.86,30.23
2022,30,Hunter Mill,2051.7,30.33
2022,31,Fairfax,2050.91,30.39
2022,32,Dowden Terrace,2047.45,30.76
2022,33,Sleepy Hollow Rec,2019.75,32.81
2022,34,Lakevale Estates,2010.89,33.4
2022,35,Fairfax Station,1982.94,34.65
2022,36,Springboard,1874.93,36.5
2022,37,Ravensworth Farm,1845.21,37.88
2022,38,Dominion Hills,1839.28,38.13
2022,39,Pinecrest,1836.67,38.4
2022,40,Cottontail,1812.43,39.87
2022,41,South Run,1799.71,40.66
2022,42,Sleepy Hollow B & R,1778.33,41.63
2022,43,Rolling Hills,1724.53,43.48
2022,44,Canterbury Woods,1724.34,43.53
2022,45,Poplar Heights,1662.06,45.41
2022,46,Country Club Hills,1633.99,46.93
2022,47,Arlington Forest,1625.56,47.57
2022,48,Lakeview,1617.42,48.28
2022,49,Mansion House,1613.97,48.6
2022,50,Waynewood,1593.94,50.26
2022,51,Parklawn,1580.65,51.37
2022,52,Walden Glen,1574.48,51.89
2022,53,Holmes Run Acres,1572.6,51.91
2022,54,Camelot,1556.83,53.1
2022,55,Brandywine,1529.23,54.63
2022,56,Sully Station,1456.46,56.22
2022,57,Daventry,1411.8,57.73
2022,58,Fox Hunt,1407.4,57.89
2022,59,Forest Hollow,1383.25,59.19
2022,60,Truro,1374.11,59.66
2022,61,Villa Aquatic,1354.49,60.38
2022,62,Fox Mill Woods,1290.39,63.42
2022,63,Kings Ridge,1288.89,63.64
2022,64,Great Falls,1279.51,64.29
2022,65,Sideburn Run,1262.5,66.05
2022,66,Shouse Village,1255.97,66.6
2022,67,Mosby Woods,1255.77,66.46
2022,68,Rolling Valley,1243.77,67.68
2022,69,Greenbriar,1238.38,68.33
2022,70,Poplar Tree,1225.5,69.43
2022,71,Laurel Hill,1199.53,71.92
2022,72,Fox Mill Estates,1197.6,72.15
2022,73,Fairfax Club Estates,1197.6,72.09
2022,74,Brookfield,1175.75,74.25
2022,75,Sully Station II,1165.72,75.02
2022,76,Highland Park,1160.55,75.51
2022,77,Hollin Meadows,1157.02,75.76
2022,78,Stratford,1120.4,78.29
2022,79,Rolling Forest,1112.28,78.76
2022,80,Woodley,1083.57,80.46
2022,81,Riverside Gardens,1078.03,80.82
2022,82,Hayfield Farm,1061.53,81.77
2022,83,Somerset-Olde Creek,1049.98,82.2
2022,84,Burke Station,951.49,84.64
2022,85,Annandale,948.88,84.8
2022,86,Parliament,926.18,85.64
2022,87,Rutherford,871.66,87.6
2022,88,Lincolnia Park,861.16,88.02
2022,89,Commonwealth,855.24,88.31
2022,90,Hollin Hills,786.17,90.02
2022,91,Lake Braddock,736.58,90.97
2022,92,Long Branch,607.07,92.02
2022,93,Village West,548.19,93.02
2022,94,Ilda Community,505.7,94.17
2022,95,Herndon,488.07,94.79
2022,96,Springfield,428.27,96.09
2022,97,Broyhill Crest,389.34,97.35
2022,98,North Springfield,383.51,97.63
2022,99,Newington Forest,341.13,99.32
2022,100,Pleasant Valley,336.45,99.61
2022,101,Pinewood Lake,115.76,101.0
2022,102,Edsall Park,17.65,102.0
2023,1,Tuckahoe,3115.68,1.31
2023,2,Overlee,3096.43,2.3
2023,3,Chesterbrook,3094.84,2.39
2023,4,Donaldson Run,2963.94,4.0
2023,5,Highlands Swim,2858.97,5.23
2023,6,Old Keene Mill,2843.78,5.77
2023,7,Langley,2712.24,7.22
2023,8,Kent Gardens,2682.07,8.28
2023,9,Crosspointe,2671.38,8.6
2023,10,Oakton,2637.77,9.9
2023,11,McLean,2552.27,11.01
2023,12,Hunt Valley,2496.79,12.0
2023,13,Hamlet,2433.4,13.78
2023,14,High Point Pool,2430.96,13.89
2023,15,Little Rocky Run,2417.85,14.56
2023,16,Mantua,2371.85,16.93
2023,17,Vienna Woods,2369.98,17.08
2023,18,Fair Oaks,2354.67,17.92
2023,19,Vienna Aquatic,2352.53,17.96
2023,20,Orange Hunt,2297.43,19.87
2023,21,Wakefield Chapel,2209.17,21.36
2023,22,Hiddenbrook,2190.31,21.88
2023,23,Virginia Hills,2160.88,22.94
2023,24,Lee Graham,2114.8,24.58
2023,25,Pinecrest,2114.33,24.59
2023,26,Little Hunting Park,2070.24,26.74
2023,27,Cardinal Hill,2068.31,26.82
2023,28,Dunn Loring,2039.44,28.62
2023,29,South Run,2036.65,28.91
2023,30,Virginia Run,2023.23,29.66
2023,31,Waynewood,2004.63,30.82
2023,32,Sleepy Hollow Rec,1997.49,31.2
2023,33,Sleepy Hollow B & R,1945.48,33.39
2023,34,Fairfax Station,1917.77,34.79
2023,35,Dominion Hills,1903.63,35.62
2023,36,Springboard,1902.31,35.67
2023,37,Hunter Mill,1901.54,35.87
2023,38,Canterbury Woods,1854.19,38.56
2023,39,Rolling Hills,1845.39,39.19
2023,40,Poplar Heights,1819.99,40.9
2023,41,Fairfax,1818.4,41.02
2023,42,Parklawn,1814.48,41.43
2023,43,Mount Vernon Park,1791.61,43.17
2023,44,Lakevale Estates,1779.88,43.9
2023,45,Arlington Forest,1773.43,44.36
2023,46,Fox Hunt,1745.37,46.16
2023,47,Dowden Terrace,1744.57,46.28
2023,48,Ravensworth Farm,1713.04,47.81
2023,49,Sully Station,1675.22,49.52
2023,50,Mansion House,1656.33,50.52
2023,51,Villa Aquatic,1651.31,50.74
2023,52,Lakeview,1647.14,51.05
2023,53,Holmes Run Acres,1572.87,53.44
2023,54,Camelot,1542.25,54.46
2023,55,Kings Ridge,1528.5,55.14
2023,56,Cottontail,1522.69,55.55
2023,57,Walden Glen,1492.28,57.27
2023,58,Country Club Hills,1476.65,58.17
2023,59,Hollin Meadows,1461.04,59.47
2023,60,Greenbriar,1443.8,60.59
2023,61,Forest Hollow,1441.46,60.85
2023,62,Shouse Village,1436.44,61.17
2023,63,Highland Park,1414.03,62.72
2023,64,Mosby Woods,1399.59,63.32
2023,65,Rolling Valley,1355.69,65.15
2023,66,Daventry,1327.61,66.14
2023,67,Great Falls,1306.1,67.25
2023,68,Truro,1293.43,67.99
2023,69,Brookfield,1269.71,68.85
2023,70,Rolling Forest,1241.67,70.29
2023,71,Stratford,1228.21,71.09
2023,72,Sideburn Run,1219.51,71.45
2023,73,Poplar Tree,1192.1,72.66
2023,74,Parliament,1148.67,74.34
2023,75,Hayfield Farm,1134.03,74.8
2023,76,Somerset-Olde Creek,1098.16,76.22
2023,77,Woodley,1071.78,77.61
2023,78,Fairfax Club Estates,1060.1,78.2
2023,79,Riverside Gardens,1060.03,78.14
2023,80,Commonwealth,1020.96,80.23
2023,81,Lincolnia Park,1015.65,80.37
2023,82,Burke Station,929.57,82.46
2023,83,Fox Mill Woods,929.42,82.54
2023,84,Brandywine,856.76,84.57
2023,85,Laurel Hill,853.81,84.56
2023,86,Sully Station II,810.95,86.31
2023,87,Lake Braddock,795.2,86.97
2023,88,Fox Mill Estates,779.17,87.59
2023,89,Hollin Hills,647.5,89.24
2023,90,Annandale,621.56,89.89
2023,91,Rutherford,589.67,90.94
2023,92,Long Branch,548.5,91.93
2023,93,Newington Forest,465.16,94.58
2023,94,Ilda Community,464.77,94.47
2023,95,Pleasant Valley,458.22,95.06
2023,96,Village West,452.9,95.3
2023,97,Herndon,448.2,95.59
2023,98,Broyhill Crest,345.86,98.57
2023,99,Springfield,334.81,98.99
2023,100,North Springfield,323.87,99.44
2023,101,Pinewood Lake,89.44,101.0
2023,102,Edsall Park,-5.65,102.0
2024,1,Chesterbrook,3159.13,1.21
2024,2,Tuckahoe,3142.54,1.82
2024,3,Overlee,3104.12,2.97
2024,4,Highlands Swim,2969.49,4.0
2024,5,Donaldson Run,2904.09,5.2
2024,6,Kent Gardens,2886.48,5.8
2024,7,Old Keene Mill,2811.32,7.0
2024,8,Crosspointe,2716.39,8.25
2024,9,Fair Oaks,2692.04,9.1
2024,10,Langley,2669.34,10.31
2024,11,Oakton,2658.62,10.94
2024,12,Wakefield Chapel,2649.15,11.4
2024,13,High Point Pool,2530.43,13.12
2024,14,Mantua,2498.72,13.97
2024,15,Hunt Valley,2467.49,14.93
2024,16,Vienna Woods,2407.61,16.16
2024,17,Little Rocky Run,2385.23,16.82
2024,18,McLean,2302.14,18.11
2024,19,Orange Hunt,2254.78,19.64
2024,20,Little Hunting Park,2249.06,19.92
2024,21,Hamlet,2227.02,20.79
2024,22,Hiddenbrook,2210.43,21.61
2024,23,Ravensworth Farm,2161.74,23.42
2024,24,Vienna Aquatic,2152.19,23.96
2024,25,Rolling Hills,2131.26,24.69
2024,26,Lee Graham,2092.68,26.47
2024,27,Fox Hunt,2079.21,27.04
2024,28,Fairfax,2057.42,28.21
2024,29,Pinecrest,2040.84,29.16
2024,30,Cardinal Hill,2029.91,29.82
2024,31,Parklawn,2013.32,30.93
2024,32,Canterbury Woods,1990.96,32.34
2024,33,Virginia Hills,1980.07,33.03
2024,34,Dominion Hills,1956.64,34.54
2024,35,Springboard,1955.72,34.57
2024,36,Sleepy Hollow Rec,1933.96,35.99
2024,37,Waynewood,1933.33,36.17
2024,38,Cottontail,1880.95,39.8
2024,39,Virginia Run,1878.84,39.8
2024,40,Dunn Loring,1874.49,40.26
2024,41,Mount Vernon Park,1871.25,40.62
2024,42,Sleepy Hollow B & R,1857.28,41.73
2024,43,Lakeview,1855.4,41.89
2024,44,Poplar Heights,1842.96,43.01
2024,45,Greenbriar,1805.5,45.15
2024,46,Dowden Terrace,1796.04,45.77
2024,47,Hunter Mill,1767.93,47.02
2024,48,Fairfax Station,1747.72,47.84
2024,49,Camelot,1707.58,49.65
2024,50,South Run,1702.77,49.8
2024,51,Kings Ridge,1685.33,50.83
2024,52,Arlington Forest,1659.71,52.06
2024,53,Lakevale Estates,1653.2,52.38
2024,54,Villa Aquatic,1591.68,53.98
2024,55,Shouse Village,1483.43,55.98
2024,56,Truro,1478.96,56.16
2024,57,Sully Station,1464.56,57.0
2024,58,Forest Hollow,1450.86,57.76
2024,59,Mansion House,1442.73,58.23
2024,60,Daventry,1392.29,60.46
2024,61,Hollin Meadows,1383.63,60.61
2024,62,Country Club Hills,1337.39,62.23
2024,63,Mosby Woods,1322.57,62.75
2024,64,Burke Station,1288.19,63.93
2024,65,Hayfield Farm,1237.39,65.53
2024,66,Fairfax Club Estates,1205.61,67.22
2024,67,Poplar Tree,1202.36,67.65
2024,68,Commonwealth,1202.16,67.49
2024,69,Parliament,1180.45,69.48
2024,70,Highland Park,1173.56,69.89
2024,71,Somerset-Olde Creek,1168.34,70.43
2024,72,Rolling Valley,1147.16,72.2
2024,73,Sideburn Run,1142.15,72.79
2024,74,Stratford,1137.97,72.78
2024,75,Riverside Gardens,1098.44,75.78
2024,76,Holmes Run Acres,1096.11,76.0
2024,77,Fox Mill Woods,1083.61,76.93
2024,78,Lincolnia Park,1072.74,77.67
2024,79,Great Falls,1051.13,79.21
2024,80,Brookfield,1040.39,80.07
2024,81,Walden Glen,1038.77,80.27
2024,82,Rolling Forest,1013.48,81.58
2024,83,Woodley,965.6,82.92
2024,84,Laurel Hill,754.31,84.5
2024,85,Fox Mill Estates,743.0,84.94
2024,86,Sully Station II,727.11,85.57
2024,87,Rutherford,652.55,87.07
2024,88,Hollin Hills,610.0,88.58
2024,89,Village West,590.25,89.93
2024,90,Brandywine,583.01,90.48
2024,91,Pleasant Valley,572.41,91.14
2024,92,Lake Braddock,571.96,91.3
2024,93,Herndon,565.17,91.66
2024,94,Newington Forest,517.05,94.0
2024,95,Annandale,480.47,95.45
2024,96,Long Branch,478.06,95.5
2024,97,Ilda Community,437.94,97.06
2024,98,North Springfield,412.8,97.83
2024,99,Broyhill Crest,342.18,98.99
2024,100,Springfield,203.53,100.0
2024,101,Edsall Park,65.91,101.0
2024,102,Pinewood Lake,6.74,102.0
2025,1,Tuckahoe,3138.63,1.14
2025,2,Chesterbrook,3115.78,1.86
2025,3,Old Keene Mill,3025.41,3.64
2025,4,Overlee,3022.36,3.69
2025,5,Highlands Swim,3001.71,4.67
2025,6,Oakton,2820.33,6.0
2025,7,Crosspointe,2730.99,7.52
2025,8,Kent Gardens,2721.02,7.92
2025,9,Fair Oaks,2704.7,8.59
2025,10,Langley,2655.73,10.55
2025,11,Donaldson Run,2639.42,11.26
2025,12,Wakefield Chapel,2638.59,11.42
2025,13,Vienna Aquatic,2610.38,12.74
2025,14,Fox Hunt,2422.87,14.51
2025,15,High Point Pool,2413.43,14.98
2025,16,Hunt Valley,2395.09,15.76
2025,17,Hiddenbrook,2360.07,17.43
2025,18,Little Hunting Park,2354.99,17.49
2025,19,Vienna Woods,2315.51,19.0
2025,20,Mantua,2271.92,20.47
2025,21,Little Rocky Run,2270.1,20.52
2025,22,Poplar Heights,2235.5,21.94
2025,23,Lee Graham,2197.39,22.97
2025,24,Sleepy Hollow B & R,2148.76,24.46
2025,25,Canterbury Woods,2134.71,25.05
2025,26,Parklawn,2117.04,25.9
2025,27,Sleepy Hollow Rec,2084.35,27.57
2025,28,Dowden Terrace,2077.78,27.82
2025,29,Ravensworth Farm,2063.32,28.71
2025,30,Rolling Hills,2033.17,30.78
2025,31,Pinecrest,2011.96,32.6
2025,32,Hamlet,2005.23,33.4
2025,33,Waynewood,1999.06,33.74
2025,34,Dominion Hills,1996.34,34.17
2025,35,Orange Hunt,1995.76,34.28
2025,36,McLean,1991.05,34.85
2025,37,Fairfax,1974.42,36.52
2025,38,Cardinal Hill,1966.26,37.21
2025,39,Dunn Loring,1952.62,38.46
2025,40,Lakeview,1950.53,38.74
2025,41,Virginia Hills,1906.88,40.95
2025,42,Greenbriar,1886.21,42.02
2025,43,Mount Vernon Park,1859.19,43.09
2025,44,Villa Aquatic,1842.93,43.79
2025,45,Forest Hollow,1803.3,45.13
2025,46,Springboard,1784.84,45.87
2025,47,Lakevale Estates,1745.54,47.26
2025,48,Arlington Forest,1725.39,48.09
2025,49,Mansion House,1711.32,48.7
2025,50,Sully Station,1679.1,49.89
2025,51,Kings Ridge,1646.63,50.92
2025,52,Cottontail,1589.41,52.15
2025,53,Fairfax Station,1566.62,52.99
2025,54,Virginia Run,1530.42,54.34
2025,55,South Run,1502.17,55.83
2025,56,Hollin Meadows,1501.5,55.8
2025,57,Hunter Mill,1500.13,55.86
2025,58,Stratford,1410.13,58.54
2025,59,Hayfield Farm,1399.88,59.09
2025,60,Commonwealth,1378.85,60.13
2025,61,Shouse Village,1374.4,60.46
2025,62,Great Falls,1331.6,62.66
2025,63,Daventry,1316.95,63.5
2025,64,Camelot,1312.99,63.63
2025,65,Parliament,1302.07,64.13
2025,66,Riverside Gardens,1243.82,67.11
2025,67,Rolling Forest,1231.98,68.06
2025,68,Mosby Woods,1224.01,68.73
2025,69,Holmes Run Acres,1216.53,69.5
2025,70,Fairfax Club Estates,1210.2,70.15
2025,71,Somerset-Olde Creek,1205.6,70.58
2025,72,Lincolnia Park,1196.01,71.81
2025,73,Burke Station,1191.8,72.04
2025,74,Truro,1189.69,72.1
2025,75,Poplar Tree,1141.84,75.04
2025,76,Highland Park,1119.69,75.73
2025,77,Brookfield,1043.58,77.39
2025,78,Country Club Hills,1034.74,77.67
2025,79,Fox Mill Woods,988.39,79.04
2025,80,Woodley,957.02,79.9
2025,81,Rolling Valley,857.32,81.24
2025,82,Walden Glen,830.37,82.07
2025,83,Sideburn Run,810.29,83.11
2025,84,Pleasant Valley,777.72,84.49
2025,85,Laurel Hill,771.39,84.89
2025,86,Brandywine,761.96,85.46
2025,87,Newington Forest,729.76,87.33
2025,88,Lake Braddock,721.76,87.7
2025,89,Ilda Community,696.05,89.03
2025,90,Sully Station II,673.82,90.03
2025,91,Herndon,661.13,90.69
2025,92,Long Branch,608.1,92.23
2025,93,Fox Mill Estates,592.09,92.73
2025,94,Hollin Hills,467.66,94.08
2025,95,Rutherford,431.8,94.92
2025,96,Village West,346.96,96.72
2025,97,Annandale,344.25,96.88
2025,98,North Springfield,334.17,97.4
2025,99,Broyhill Crest,213.89,99.14
2025,100,Springfield,189.18,99.86
2025,101,Edsall Park,31.11,101.0
2025,102,Pinewood Lake,-18.0,102.0
2026,1,Chesterbrook,3140.67,1.0
2026,2,Tuckahoe,3088.76,2.0
2026,3,Overlee,3037.3,3.0
2026,4,Highlands Swim,2963.27,4.0
2026,5,Old Keene Mill,2815.9,5.05
2026,6,Wakefield Chapel,2769.79,6.2
2026,7,Crosspointe,2749.89,7.0
2026,8,Langley,2718.14,8.52
2026,9,Kent Gardens,2716.44,8.6
2026,10,Oakton,2692.45,9.75
2026,11,Fair Oaks,2661.73,10.88
2026,12,High Point Pool,2543.5,12.31
2026,13,Hunt Valley,2519.76,13.23
2026,14,Vienna Aquatic,2511.7,13.46
2026,15,Fox Hunt,2429.27,15.81
2026,16,Donaldson Run,2416.13,16.42
2026,17,Orange Hunt,2409.1,16.78
2026,18,McLean,2404.05,17.0
2026,19,Vienna Woods,2336.92,18.99
2026,20,Mantua,2233.45,20.5
2026,21,Little Rocky Run,2218.23,21.34
2026,22,Little Hunting Park,2197.83,22.96
2026,23,Hiddenbrook,2187.24,24.01
2026,24,Greenbriar,2180.69,24.73
2026,25,Rolling Hills,2178.75,24.72
2026,26,Parklawn,2178.33,24.84
2026,27,Kings Ridge,2159.97,26.36
2026,28,Cardinal Hill,2149.07,27.28
2026,29,Dominion Hills,2130.98,28.28
2026,30,Pinecrest,2067.76,30.0
2026,31,Lakeview,1999.3,31.27
2026,32,Sleepy Hollow B & R,1974.77,32.57
2026,33,Waynewood,1960.58,33.23
2026,34,Poplar Heights,1953.31,33.79
2026,35,Hamlet,1930.07,35.21
2026,36,Ravensworth Farm,1926.53,35.48
2026,37,Dowden Terrace,1893.45,37.35
2026,38,Canterbury Woods,1883.41,37.75
2026,39,Arlington Forest,1871.78,38.34
2026,40,Virginia Hills,1806.15,40.36
2026,41,Fairfax Station,1788.56,41.13
2026,42,Springboard,1755.85,43.33
2026,43,Cottontail,1755.42,43.45
2026,44,Lee Graham,1746.42,43.96
2026,45,Dunn Loring,1738.03,44.65
2026,46,Mount Vernon Park,1730.55,45.18
2026,47,Sleepy Hollow Rec,1711.14,46.79
2026,48,Forest Hollow,1692.53,47.89
2026,49,Commonwealth,1679.47,48.47
2026,50,Fairfax,1639.45,50.16
2026,51,Hunter Mill,1625.86,50.62
2026,52,Shouse Village,1543.23,53.1
2026,53,South Run,1532.15,53.79
2026,54,Virginia Run,1525.47,54.25
2026,55,Mansion House,1515.78,55.15
2026,56,Camelot,1503.3,56.21
2026,57,Villa Aquatic,1491.99,57.48
2026,58,Sully Station,1482.4,58.33
2026,59,Holmes Run Acres,1474.92,59.19
2026,60,Hollin Meadows,1473.48,59.26
2026,61,Stratford,1468.16,59.74
2026,62,Great Falls,1454.41,61.04
2026,63,Hayfield Farm,1428.02,62.51
2026,64,Highland Park,1371.53,64.98
2026,65,Riverside Gardens,1370.77,64.98
2026,66,Lakevale Estates,1370.71,64.99
2026,67,Mosby Woods,1262.66,67.38
2026,68,Fairfax Club Estates,1237.39,68.37
2026,69,Lincolnia Park,1218.42,69.35
2026,70,Country Club Hills,1212.54,69.63
2026,71,Truro,1192.47,70.96
2026,72,Parliament,1178.55,71.69
2026,73,Daventry,1155.37,72.62
2026,74,Brookfield,1080.4,74.08
2026,75,Sideburn Run,1035.04,75.95
2026,76,Woodley,1026.47,76.53
2026,77,Burke Station,1022.09,76.88
2026,78,Rolling Forest,1014.24,77.48
2026,79,Rolling Valley,998.17,78.48
2026,80,Somerset-Olde Creek,972.68,79.84
2026,81,Long Branch,943.39,80.83
2026,82,Poplar Tree,889.07,82.31
2026,83,Village West,874.47,82.92
2026,84,Lake Braddock,847.39,83.7
2026,85,Fox Mill Woods,743.66,85.16
2026,86,Newington Forest,701.63,86.98
2026,87,Walden Glen,698.89,87.43
2026,88,Pleasant Valley,682.13,88.7
2026,89,Hollin Hills,680.32,88.65
2026,90,Brandywine,676.32,89.04
2026,91,Laurel Hill,656.98,90.47
2026,92,Rutherford,631.33,91.77
2026,93,Annandale,600.75,92.87
2026,94,North Springfield,554.5,94.02
2026,95,Ilda Community,514.69,95.37
2026,96,Herndon,507.1,95.59
2026,97,Fox Mill Estates,458.13,96.97
2026,98,Sully Station II,405.98,97.98
2026,99,Broyhill Crest,238.61,99.28
2026,100,Springfield,226.73,99.72
2026,101,Edsall Park,157.32,101.0
2026,102,Pinewood Lake,28.48,102.0
